year,sex,age_type,district_number,LE,HALE,LE-HALE
2020,male,0,4,72.9059567630991,67.0815050964182,5.8244516666809005
2020,male,0,5,72.6814790861294,66.926017168947,5.7554619171824015
2020,male,0,6,72.9131074136874,67.0939540647398,5.819153348947594
2020,male,0,7,70.4284992499959,64.7791140644642,5.649385185531699
2020,male,0,8,70.9476215612685,65.1857041167694,5.761917444499105
2020,male,0,9,71.7033626205087,65.7224763925936,5.980886227915093
2020,male,0,10,71.4911345593352,65.5989636887993,5.892170870535892
2020,male,0,11,73.6337724290367,67.397141345928,6.236631083108691
2020,male,0,12,73.2383992426082,67.0381199258367,6.2002793167715
2020,male,0,13,76.8934232003809,70.3679652768513,6.525457923529601
2020,female,0,1,79.2316869231377,70.4791808644168,8.752506058720897
2020,female,0,2,79.1841562962924,70.3585446634884,8.825611632803998
2020,female,0,3,79.4914514999433,70.5986938303505,8.892757669592797
2020,female,0,4,80.2991304730974,71.9085562286624,8.390574244435001
2020,female,0,5,80.2410140968592,71.8458505799666,8.395163516892609
2020,female,0,6,80.5113717531992,72.0134266575696,8.497945095629603
2020,female,0,7,78.4882895720387,69.5794835287161,8.908806043322599
2020,female,0,8,78.4411442872419,69.5292828713872,8.911861415854702
2020,female,0,9,79.5399716073357,70.2568785370516,9.283093070284096
2020,female,0,10,78.8761990427167,69.8136734238056,9.06252561891111
2020,female,0,11,81.3706991039385,72.4042489190437,8.96645018489481
2020,female,0,12,81.2429451658429,72.2875395003247,8.9554056655182
2020,female,0,13,83.4500002257116,73.8566268467807,9.593373378930906
2020,male,60,1,20.0607135057702,15.3959830245416,4.664730481228599
2020,male,60,2,20.247612892907,15.5017302856992,4.7458826072078
2020,male,60,3,20.3574311621193,15.583618199958,4.773812962161301
2020,male,60,4,21.1082120031068,16.568863934781,4.5393480683258005
2020,male,60,5,20.8341932259427,16.3858315092686,4.4483617166741
2020,male,60,6,21.0605089333555,16.5367151128078,4.523793820547699
2020,male,60,7,19.5683761454875,14.9922573080436,4.576118837443898
2020,male,60,8,19.6521063977647,15.0498792002254,4.602227197539301
2020,male,60,9,20.6114717631184,15.7145973614785,4.896874401639899
2020,male,60,10,20.1231132928379,15.3876926383491,4.7354206544888005
2020,male,60,11,21.2794555477297,16.8375007270468,4.441954820682902
2020,male,60,12,21.225121553588,16.7697652805064,4.455356273081598
2020,male,60,13,23.5376421124647,18.4090532938594,5.128588818605298
2020,female,60,1,23.2677127900264,17.0901797208895,6.177533069136903
2020,female,60,2,23.6607389642151,17.3264351114687,6.334303852746398
2020,female,60,3,23.8295703220919,17.4402445969522,6.389325725139699
2020,female,60,4,24.4429432211627,17.7671778280206,6.6757653931421
2020,female,60,5,24.5129737230896,17.8124923068128,6.700481416276801
2020,female,60,6,24.7845919710299,17.9763512471215,6.808240723908401
2020,female,60,7,22.5074516480965,16.2125484091266,6.294903238969898
2020,female,60,8,22.6081095754566,16.2722368624653,6.3358727129913
2020,female,60,9,23.664754248698,16.952764158655,6.711990090042999
2020,female,60,10,23.0132941809803,16.5346399868355,6.478654194144799
2020,female,60,11,25.6887626626269,19.1149513131193,6.573811349507601
2020,female,60,12,25.7093853807844,19.1154289086347,6.593956472149699
2020,female,60,13,27.0211378222008,19.563707929132,7.457429893068799
2021,male,0,1,70.9970186376395,64.1714319513736,6.825586686265893
2021,male,0,2,69.9062349968792,63.2980540473345,6.608180949544703
2021,male,0,3,70.3342335047603,63.6261832861917,6.708050218568609
2021,male,0,4,71.1586967831486,65.6887973132421,5.469899469906494
2021,male,0,5,70.9570172381004,65.5454667095886,5.41155052851181
2021,male,0,6,71.0946921260829,65.6558061214756,5.438886004607298
2021,male,0,7,69.5147966889258,64.7213173129951,4.793479375930701
2021,male,0,8,70.053210371812,65.1590785578824,4.894131813929604
2021,male,0,9,70.7346592756769,65.6233540254972,5.111305250179697
2021,male,0,10,70.3077401934892,65.328516512647,4.979223680842196
2021,male,0,11,72.5068939990417,66.6768100245863,5.830083974455391
2021,male,0,12,71.3738019493125,65.8357727958061,5.5380291535064
2021,male,0,13,73.0224577019287,67.3217991849474,5.700658516981306
2021,female,0,1,79.1029308517437,70.5578236748873,8.54510717685639
2021,female,0,2,78.5752913858584,70.1154563277437,8.459835058114706
2021,female,0,3,78.2683242883658,69.8950710528992,8.373253235466606
2021,female,0,4,78.4645455064488,70.9752597386144,7.489285767834403
2021,female,0,5,78.5133866768355,70.9924509457201,7.520935731115401
2021,female,0,6,78.6731575197297,71.1090060919182,7.564151427811495
2021,female,0,7,78.20110272256,69.3804636880301,8.82063903452989
2021,female,0,8,77.8889995054563,69.1278566123573,8.761142893098992
2021,female,0,9,78.9423501607514,69.847521894908,9.094828265843404
2021,female,0,10,78.2912480144401,69.412726241287,8.878521773153096
2021,female,0,11,80.6442111282819,72.3951767722264,8.249034356055489
2021,female,0,12,78.8955122874282,71.1413766254713,7.754135661956909
2021,female,0,13,80.259262354242,72.4291916188697,7.830070735372303
2021,male,60,1,19.7353784553423,14.720083498796,5.015294956546299
2021,male,60,2,19.3943920371466,14.4562799232651,4.938112113881498
2021,male,60,3,19.7176121840441,14.6814495430152,5.0361626410289
2021,male,60,4,19.6102697897918,15.3015621566395,4.3087076331523
2021,male,60,5,19.3826796811046,15.158152578123,4.224527102981602
2021,male,60,6,19.3975503222087,15.1562859852586,4.241264336950101
2021,male,60,7,19.0609988676705,14.7792990721625,4.281699795507999
2021,male,60,8,19.1393537827356,14.8438697922326,4.295483990503001
2021,male,60,9,20.2211129787474,15.5860651939374,4.6350477848099985
2021,male,60,10,19.6053424363251,15.3415051031768,4.263837333148299
2021,male,60,11,20.5871594010422,16.0766265678212,4.510532833220999
2021,male,60,12,19.3935721956971,15.2032985446558,4.1902736510413
2021,male,60,13,19.6053424363251,15.4872374681589,4.1181049681661985
2021,female,60,1,23.206467979052,17.0648180890094,6.141649890042601
2021,female,60,2,23.2448159190057,17.071932089121,6.1728838298847
2021,female,60,3,23.058371158367,16.9437979367631,6.114573221603898
2021,female,60,4,23.0363253741033,17.0272763499175,6.009049024185799
2021,female,60,5,23.2231999850359,17.1487166932654,6.074483291770502
2021,female,60,6,23.2730776155977,17.177934838647,6.0951427769506985
2021,female,60,7,22.4498023944028,16.0342116757926,6.415590718610197
2021,female,60,8,22.408527448809,15.9968907287876,6.4116367200214
2021,female,60,9,23.3428520124154,16.6001600353092,6.7426919771061975
2021,female,60,10,22.6903673666486,16.1803057301039,6.510061636544702
2021,female,60,11,25.0609548231848,18.7603984662066,6.300556356978202
2021,female,60,12,23.611912064418,17.7706730894882,5.8412389749298015
2021,female,60,13,24.0547279718452,17.8513510580331,6.2033769138121
2022,male,0,1,69.8723827469745,64.2252026309939,5.647180115980589
2022,male,0,2,69.4336643535087,63.8566314020686,5.577032951440103
2022,male,0,3,69.4565044277501,63.8700227239731,5.586481703777004
2022,male,0,4,71.5928626928559,66.1716956732902,5.421167019565701
2022,male,0,5,70.812648469832,65.5588283447142,5.253820125117798
2022,male,0,6,71.2973113574922,65.9537949431711,5.343516414321101
2022,male,0,7,68.9793322426764,63.2779371572519,5.701395085424508
2022,male,0,8,69.1813377654661,63.4228462925138,5.758491472952294
2022,male,0,9,69.631574484762,63.7518418090845,5.879732675677495
2022,male,0,10,69.6029186027125,63.757199369311,5.845719233401503
2022,male,0,11,71.5230063135041,65.677165565341,5.8458407481630985
2022,male,0,12,70.8575213237967,65.1210370036546,5.736484320142097
2022,male,0,13,75.1362440892613,69.2751087915276,5.861135297733696
2022,female,0,1,78.1791353442222,69.657518221674,8.521617122548207
2022,female,0,2,77.4849037049002,69.1094207151066,8.37548298979361
2022,female,0,3,77.5457271007327,69.1334081213327,8.412318979399998
2022,female,0,4,78.8284510075071,70.7249749256725,8.1034760818346
2022,female,0,5,78.5384760404321,70.4768909174287,8.061585123003397
2022,female,0,6,78.7351178167691,70.6242156412202,8.110902175548901
2022,female,0,7,77.3529011577378,68.8024101404182,8.550491017319601
2022,female,0,8,77.0437080807095,68.536105334178,8.50760274653149
2022,female,0,9,77.7568333014426,69.0363690063335,8.720464295109096
2022,female,0,10,77.3016054280928,68.7168994920159,8.584705936076901
2022,female,0,11,79.1795082602621,70.4849724305489,8.694535829713203
2022,female,0,12,78.3628953425403,69.8696323441502,8.493262998390094
2022,female,0,13,82.0211008642332,72.5582212732063,9.462879591026905
2022,male,60,1,18.858134321091,14.8194029395592,4.0387313815318
2022,male,60,2,18.6854067058718,14.6760072374545,4.009399468417298
2022,male,60,3,18.7567394591197,14.7281749604009,4.028564498718801
2022,male,60,4,19.7468768443096,15.7270216653841,4.0198551789255
2022,male,60,5,19.1276066938345,15.2739140554307,3.8536926384038015
2022,male,60,6,19.3415704651115,15.4307531586814,3.910817306430099
2022,male,60,7,18.399861901144,14.0958616551479,4.3040002459961
2022,male,60,8,18.406298908344,14.1055277560951,4.300771152248899
2022,male,60,9,19.0160367627305,14.5283140249078,4.4877227378227005
2022,male,60,10,18.6648684510111,14.2867878473982,4.378080603612899
2022,male,60,11,19.4800041009472,15.7116628113499,3.7683412895972985
2022,male,60,12,19.1218669632043,15.4305992604719,3.691267702732402
2022,male,60,13,21.4321243634342,17.0659028184243,4.3662215450099
2022,female,60,1,22.3107980894263,16.4757602892305,5.835037800195799
2022,female,60,2,22.0956290198659,16.3146265275136,5.7810024923523
2022,female,60,3,22.2820593166027,16.4317099026479,5.8503494139548025
2022,female,60,4,23.0957032313288,16.8224558957433,6.273247335585502
2022,female,60,5,23.0882492905296,16.8104651473694,6.277784143160201
2022,female,60,6,23.1719782836999,16.8584334307298,6.3135448529701
2022,female,60,7,21.6100473872639,15.7477641811888,5.862283206075102
2022,female,60,8,21.5764520522705,15.7069846578331,5.8694673944374
2022,female,60,9,22.201571957271,16.1215017587954,6.0800701984756
2022,female,60,10,21.8348693794703,15.8820717260907,5.952797653379601
2022,female,60,11,23.6853507842912,17.6533058808815,6.032044903409698
2022,female,60,12,23.1478741011528,17.2815873064329,5.866286794719901
2022,female,60,13,25.3647005498894,18.3956589782118,6.9690415716776
